{'EVT':{'Adc': [[22, 20, 20, 21, 21, 0, 0, 20], [560, 560, 565, 565, 567, 567, 591, 591]], 'Frq': 41998676, 'Evt': 1, 'Tks': 4427131, 'Etm': 150135.1054112}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 14:53:14 2016'}}*{'SQN':{'Sqn': 75}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[23, 23, 23, 23, 23, 22, 22, 22], [565, 565, 568, 568, 568, 568, 586, 586]], 'Frq': 41998677, 'Evt': 1, 'Tks': 4415422, 'Etm': 150323.1051324}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:11 2016'}}*{'SQN':{'Sqn': 76}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[24, 24, 23, 23, 23, 23, 21, 21], [564, 567, 567, 568, 568, 588, 588, 578]], 'Frq': 41998677, 'Evt': 1, 'Tks': 4423612, 'Etm': 150411.1053274}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:11 2016'}}*{'SQN':{'Sqn': 77}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[23, 23, 23, 23, 22, 22, 23, 23], [555, 563, 563, 567, 567, 568, 568, 590]], 'Frq': 41998677, 'Evt': 1, 'Tks': 4439491, 'Etm': 150423.1057055}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:11 2016'}}*{'SQN':{'Sqn': 78}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[22, 22, 25, 25, 22, 22, 21, 21], [554, 566, 566, 569, 569, 559, 559, 589]], 'Frq': 41998676, 'Evt': 1, 'Tks': 4415243, 'Etm': 150659.1051281}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:11 2016'}}*{'SQN':{'Sqn': 79}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[23, 23, 23, 23, 21, 21, 28, 28], [543, 560, 560, 564, 564, 579, 579, 578]], 'Frq': 41998677, 'Evt': 1, 'Tks': 4404146, 'Etm': 151847.1048639}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:12 2016'}}*{'SQN':{'Sqn': 80}} - ('81.28.206.54', 57178)
