{'EVT':{'Adc': [[1108, 1113, 1113, 1110, 1113, 1112, 1111, 1115], [1111, 1109, 1109, 1114, 1112, 1115, 1114, 1111]], 'Frq': 41998664, 'Evt': 1, 'Tks': 4331544, 'Etm': 160050.1031353}}*{'BMP':{'Tmb': 23.5, 'Alb': 528.6, 'Prs': 951.35}}*{'ACL':{'Acz': 10.74809, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 1.181818}}*{'HTU':{'Tmh': 23.85, 'Hum': 30.3}}*{'STS':{'Htu': 0, 'Acl': 0, 'Bmp': 0, 'Mag': 0, 'Qsz': 18, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.09594, 'Alt': 505.200012, 'Lon': 5.879597}}*{'TIM':{'Upt': 358213, 'Sec': 174256, 'Frq': 41998666}}*{'DAT':{'Dat': 'Fri Apr 15 16:00:49 2016'}}*{'SQN':{'Sqn': 4300}} - ('81.28.206.54', 52591)

{'EVT':{'Adc': [[1101, 1096, 1095, 1096, 1096, 1097, 1095, 1096], [1094, 1093, 1099, 1095, 1099, 1096, 1098, 1098]], 'Frq': 41998664, 'Evt': 1, 'Tks': 4304745, 'Etm': 164338.1024972}}*{'BMP':{'Tmb': 23.5, 'Alb': 528.6, 'Prs': 951.35}}*{'ACL':{'Acz': 10.74809, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 1.181818}}*{'HTU':{'Tmh': 23.85, 'Hum': 30.3}}*{'STS':{'Htu': 0, 'Acl': 0, 'Bmp': 0, 'Mag': 0, 'Qsz': 18, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.09594, 'Alt': 505.200012, 'Lon': 5.879597}}*{'TIM':{'Upt': 358213, 'Sec': 174256, 'Frq': 41998666}}*{'DAT':{'Dat': 'Fri Apr 15 17:42:56 2016'}}*{'SQN':{'Sqn': 4301}} - ('81.28.206.54', 52591)

{'EVT':{'Adc': [[1113, 1110, 1111, 1110, 1110, 1109, 1110, 1106], [1111, 1113, 1111, 1112, 1109, 1113, 1109, 1109]], 'Frq': 41998664, 'Evt': 1, 'Tks': 4314735, 'Etm': 164339.1027351}}*{'BMP':{'Tmb': 23.5, 'Alb': 528.6, 'Prs': 951.35}}*{'ACL':{'Acz': 10.74809, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 1.181818}}*{'HTU':{'Tmh': 23.85, 'Hum': 30.3}}*{'STS':{'Htu': 0, 'Acl': 0, 'Bmp': 0, 'Mag': 0, 'Qsz': 18, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.09594, 'Alt': 505.200012, 'Lon': 5.879597}}*{'TIM':{'Upt': 358213, 'Sec': 174256, 'Frq': 41998666}}*{'DAT':{'Dat': 'Fri Apr 15 17:42:56 2016'}}*{'SQN':{'Sqn': 4302}} - ('81.28.206.54', 52591)

{'EVT':{'Adc': [[1111, 1113, 1116, 1111, 1117, 1113, 1115, 1114], [1114, 1112, 1112, 1113, 1114, 1108, 1102, 1112]], 'Frq': 41998664, 'Evt': 1, 'Tks': 4360711, 'Etm': 164344.1038298}}*{'BMP':{'Tmb': 23.5, 'Alb': 528.6, 'Prs': 951.35}}*{'ACL':{'Acz': 10.74809, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 1.181818}}*{'HTU':{'Tmh': 23.85, 'Hum': 30.3}}*{'STS':{'Htu': 0, 'Acl': 0, 'Bmp': 0, 'Mag': 0, 'Qsz': 18, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.09594, 'Alt': 505.200012, 'Lon': 5.879597}}*{'TIM':{'Upt': 358213, 'Sec': 174256, 'Frq': 41998666}}*{'DAT':{'Dat': 'Fri Apr 15 17:42:56 2016'}}*{'SQN':{'Sqn': 4303}} - ('81.28.206.54', 52591)

{'EVT':{'Adc': [[1110, 1113, 1112, 1114, 1114, 1115, 1112, 1112], [1110, 1113, 1113, 1117, 1115, 1115, 1114, 1114]], 'Frq': 41998664, 'Evt': 1, 'Tks': 4371781, 'Etm': 164345.1040933}}*{'BMP':{'Tmb': 23.5, 'Alb': 528.6, 'Prs': 951.35}}*{'ACL':{'Acz': 10.74809, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 1.181818}}*{'HTU':{'Tmh': 23.85, 'Hum': 30.3}}*{'STS':{'Htu': 0, 'Acl': 0, 'Bmp': 0, 'Mag': 0, 'Qsz': 18, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.09594, 'Alt': 505.200012, 'Lon': 5.879597}}*{'TIM':{'Upt': 358213, 'Sec': 174256, 'Frq': 41998666}}*{'DAT':{'Dat': 'Fri Apr 15 17:42:56 2016'}}*{'SQN':{'Sqn': 4304}} - ('81.28.206.54', 52591)

{'EVT':{'Adc': [[1117, 1118, 1118, 1117, 1118, 1115, 1121, 1118], [1117, 1115, 1117, 1115, 1117, 1120, 1115, 1117]], 'Frq': 41998664, 'Evt': 1, 'Tks': 4371320, 'Etm': 164346.1040824}}*{'BMP':{'Tmb': 23.5, 'Alb': 528.6, 'Prs': 951.35}}*{'ACL':{'Acz': 10.74809, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 1.181818}}*{'HTU':{'Tmh': 23.85, 'Hum': 30.3}}*{'STS':{'Htu': 0, 'Acl': 0, 'Bmp': 0, 'Mag': 0, 'Qsz': 18, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.09594, 'Alt': 505.200012, 'Lon': 5.879597}}*{'TIM':{'Upt': 358213, 'Sec': 174256, 'Frq': 41998666}}*{'DAT':{'Dat': 'Fri Apr 15 17:42:56 2016'}}*{'SQN':{'Sqn': 4305}} - ('81.28.206.54', 52591)
