{'VIB':{'Vax': 4, 'Vcn': 2}}*{'ACL':{'Acz': 10.473503, 'Acy': -0.313813, 'Acx': 0.039227}}*{'MAG':{'Mgz': -16.632654, 'Mgy': -8.727273, 'Mgx': 3.181818}}*{'LOC':{'Lat': 46.095905, 'Alt': 486.399994, 'Lon': 5.879655}}*{'TIM':{'Upt': 554, 'Sec': 124055, 'Frq': 41998681}}*{'DAT':{'Dat': 'Sun Apr 17 12:37:11 2016'}}*{'SQN':{'Sqn': 1}} - ('81.28.206.54', 51572)

{'VIB':{'Vax': 4, 'Vcn': 3}}*{'ACL':{'Acz': 10.473503, 'Acy': -0.196133, 'Acx': -0.039227}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.727273, 'Mgx': 3.181818}}*{'LOC':{'Lat': 46.095947, 'Alt': 486.399994, 'Lon': 5.879635}}*{'TIM':{'Upt': 973, 'Sec': 124754, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:40:57 2016'}}*{'SQN':{'Sqn': 2}} - ('81.28.206.54', 51572)

{'VIB':{'Vax': 4, 'Vcn': 4}}*{'ACL':{'Acz': 10.51273, 'Acy': -0.274586, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.632654, 'Mgy': -8.727273, 'Mgx': 3.090909}}*{'LOC':{'Lat': 46.095947, 'Alt': 486.299988, 'Lon': 5.879618}}*{'TIM':{'Upt': 1132, 'Sec': 125033, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:47:56 2016'}}*{'SQN':{'Sqn': 3}} - ('81.28.206.54', 51572)

{'VIB':{'Vax': 4, 'Vcn': 5}}*{'ACL':{'Acz': 10.473503, 'Acy': -0.274586, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.545455, 'Mgx': 3.090909}}*{'LOC':{'Lat': 46.095955, 'Alt': 487.799988, 'Lon': 5.879663}}*{'TIM':{'Upt': 1405, 'Sec': 125506, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:50:35 2016'}}*{'SQN':{'Sqn': 4}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1120, 1121, 1118, 1118, 1118, 1119, 1119, 1116], [1120, 1121, 1118, 1118, 1121, 1116, 1116, 1113]], 'Frq': 41998681, 'Evt': 1, 'Tks': 4402932, 'Etm': 0.104835}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:55:08 2016'}}*{'SQN':{'Sqn': 5}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1113, 1118, 1120, 1121, 1120, 1120, 1125, 1118], [1119, 1122, 1117, 1120, 1117, 1121, 1120, 1117]], 'Frq': 41998682, 'Evt': 1, 'Tks': 4396146, 'Etm': 123144.1046734}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:32 2016'}}*{'SQN':{'Sqn': 6}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1117, 1118, 1117, 1116, 1120, 1120, 1118, 1116], [1119, 1117, 1116, 1117, 1120, 1117, 1116, 1117]], 'Frq': 41998682, 'Evt': 2, 'Tks': 8745, 'Etm': 123144.1048816}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:32 2016'}}*{'SQN':{'Sqn': 7}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1121, 1121, 1116, 1117, 1118, 1117, 1115, 1123], [1118, 1123, 1120, 1117, 1116, 1117, 1114, 1119]], 'Frq': 41998681, 'Evt': 1, 'Tks': 4387554, 'Etm': 123145.1044689}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:32 2016'}}*{'SQN':{'Sqn': 8}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1118, 1117, 1117, 1116, 1116, 1115, 1117, 1118], [1116, 1116, 1115, 1114, 1112, 1119, 1117, 1117]], 'Frq': 41998681, 'Evt': 2, 'Tks': 17489, 'Etm': 123145.1048853}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:32 2016'}}*{'SQN':{'Sqn': 9}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1117, 1118, 1115, 1115, 1120, 1115, 1117, 1115], [1127, 1117, 1119, 1115, 1119, 1118, 1116, 1117]], 'Frq': 41998681, 'Evt': 3, 'Tks': 13122, 'Etm': 123145.1051977}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:32 2016'}}*{'SQN':{'Sqn': 10}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1108, 1110, 1107, 1114, 1114, 1113, 1116, 1121], [1102, 1110, 1110, 1114, 1112, 1116, 1114, 1112]], 'Frq': 41998682, 'Evt': 1, 'Tks': 4417463, 'Etm': 123218.105181}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:33 2016'}}*{'SQN':{'Sqn': 11}} - ('81.28.206.54', 51572)

